#                                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta           -          F1203_NODE_1469_length_1660_cov_2.881620_2 -            5.5e-07   20.6   0.0   8.8e-07   19.9   0.0   1.4   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta -          F1203_NODE_1469_length_1660_cov_2.881620_2 -            0.00028   11.7   0.0   0.00037   11.3   0.0   1.1   1   0   0   1   1   1   1 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta  -          F1203_NODE_1608_length_1603_cov_22.480620_1 -                0.4    1.5  33.3      0.49    1.2  33.3   1.0   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta -          F1203_NODE_1608_length_1603_cov_22.480620_1 -                1.5   -0.4  23.0       1.8   -0.7  23.0   1.0   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -          F1203_NODE_2503_length_1324_cov_8.257683_1 -              0.028    5.1  10.3     0.038    4.6  10.3   1.3   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -          F1203_NODE_2503_length_1324_cov_8.257683_1 -               0.45    1.2  20.2      0.65    0.7  20.2   1.2   1   0   0   1   1   1   0 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta -          F1203_NODE_2665_length_1283_cov_16.068404_1 -             0.0014    9.4   3.9     0.002    8.9   3.9   1.3   1   0   0   1   1   1   1 -
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta -          F1203_NODE_3177_length_1180_cov_7.117333_1 -                8.2   -2.9  21.8       1.1   -0.1   2.4   1.5   1   1   1   2   2   2   0 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta -          F1203_NODE_3453_length_1133_cov_9.468460_1 -            0.00018   12.6   1.8    0.0002   12.4   1.8   1.2   1   0   0   1   1   1   1 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.172.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.172.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/a1/e75223e0d968a7deaed538c3551aeb
# Date:            Thu Jul 21 16:23:25 2022
# [ok]
#                                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -          F1503_NODE_5358_length_1174_cov_3.015192_2 -              0.018    5.7  13.2     0.021    5.5  13.2   1.3   1   0   0   1   1   1   0 -
ALL_FINAL_RdRp_cores_0.3.clstr_504.Palmdb.0.4.fasta -          F1503_NODE_5403_length_1168_cov_1.558850_1 -               0.18    2.2  18.2      0.22    1.9  18.2   1.1   1   0   0   1   1   1   0 -
